,Hindi Words,Max Similarity,Similarity
163,सुप्रसिद्ध,0.95,सुप्रसिद्ध
100,संवेदनशील,0.9440000000000001,संवेदनशील
49,अलकनन्दा,0.938,अलकनन्दा
2,अनुभूति,0.929,अनुभूति
203,पचहत्तर,0.929,पचहत्तर
238,अमेरिका,0.929,अमेरिका
267,जालीदार,0.929,जालीदार
273,उत्पादन,0.929,उत्पादन
36,चतुर्थ,0.917,चतुर्थ
160,दारोगा,0.917,दारोगा
11,गीतिका,0.917,गीतिका
176,बगैरह,0.9,बगैरह
260,मंगला,0.9,मंगला
1,पैंसठ,0.9,पैंसठ
199,अन्दर,0.9,अन्दर
211,कर्जा,0.9,कर्जा
218,चालीस,0.9,चालीस
274,नंगे,0.875,नंगे
255,दांत,0.875,दांत
261,उछाल,0.875,उछाल
43,डोले,0.875,डोले
159,पूरी,0.875,पूरी
21,कचोट,0.875,कचोट
9,अलबम,0.875,अलबम
185,विकट,0.875,विकट
37,महती,0.875,महती
178,नगद,0.833,नगद
48,जाम,0.833,जाम
28,दुइ,0.833,दुइ
182,निर्माणजो,0.722,नवनिर्माण
155,नके,0.667,अके
31,गदम,0.667,आदम
94,कहानियां,0.625,चलनियां
73,रीये,0.625,रिये
177,श्वेतकण,0.611,श्वेतकेतु
201,अकाली,0.6,चालीस
22,ऐसाही,0.6,जाही
65,पियोगी,0.583,पियली
240,छांहदार,0.5710000000000001,जालीदार
6,समझाये,0.5710000000000001,समुझावे
