,Hindi Words,Max Similarity,Similarity
248,समुद्रगुप्त,0.955,समुद्रगुप्त
58,राष्ट्रीयता,0.955,राष्ट्रीयता
163,सुप्रसिद्ध,0.95,सुप्रसिद्ध
66,कुण्डलियाँ,0.95,कुण्डलियाँ
50,प्रतिक्षा,0.9440000000000001,प्रतिक्षा
100,संवेदनशील,0.9440000000000001,संवेदनशील
46,प्राणवान,0.938,प्राणवान
77,बापरेबाप,0.938,बापरेबाप
2,अनुभूति,0.929,अनुभूति
190,कमिश्नर,0.929,कमिश्नर
273,उत्पादन,0.929,उत्पादन
238,अमेरिका,0.929,अमेरिका
216,चिठ्ठी,0.917,चिठ्ठी
68,शहंशाह,0.917,शहंशाह
74,दरबाजा,0.917,दरबाजा
93,रंगदार,0.917,रंगदार
160,दारोगा,0.917,दारोगा
7,गन्दगी,0.917,गन्दगी
27,विदेह,0.9,विदेह
199,अन्दर,0.9,अन्दर
211,कर्जा,0.9,कर्जा
218,चालीस,0.9,चालीस
176,बगैरह,0.9,बगैरह
185,विकट,0.875,विकट
43,डोले,0.875,डोले
261,उछाल,0.875,उछाल
159,पूरी,0.875,पूरी
255,दांत,0.875,दांत
21,कचोट,0.875,कचोट
274,नंगे,0.875,नंगे
102,अभय,0.833,अभय
48,जाम,0.833,जाम
178,नगद,0.833,नगद
75,राष्ट्रपिता,0.773,राष्ट्रीयता
11,गीतिका,0.667,रतिका
287,सूर्यकुल,0.667,मूर्खाकुल
31,गदम,0.667,आदम
173,दीवानगी,0.643,दीवाली
257,मंझोली,0.643,मंझोलका
94,कहानियां,0.625,रोपनियां
