,Hindi Words,Max Similarity,Similarity
58,राष्ट्रीयता,0.955,राष्ट्रीयता
75,राष्ट्रपिता,0.955,राष्ट्रपिता
163,सुप्रसिद्ध,0.95,सुप्रसिद्ध
129,सुलतानपुर,0.9440000000000001,सुलतानपुर
50,प्रतिक्षा,0.9440000000000001,प्रतिक्षा
10,आनुवंशिकी,0.9440000000000001,आनुवंशिकी
157,आधारशिला,0.938,आधारशिला
238,अमेरिका,0.929,अमेरिका
203,पचहत्तर,0.929,पचहत्तर
190,कमिश्नर,0.929,कमिश्नर
273,उत्पादन,0.929,उत्पादन
36,चतुर्थ,0.917,चतुर्थ
74,दरबाजा,0.917,दरबाजा
140,इस्पात,0.917,इस्पात
27,विदेह,0.9,विदेह
218,चालीस,0.9,चालीस
185,विकट,0.875,विकट
37,महती,0.875,महती
296,सेरी,0.875,सेरी
28,दुइ,0.833,दुइ
130,बनू,0.833,बनू
48,जाम,0.833,जाम
178,नगद,0.833,नगद
182,निर्माणजो,0.722,नवनिर्माण
31,गदम,0.667,आदम
165,प्रांगण,0.643,प्रसंगक
94,कहानियां,0.625,ठेहुनिया
186,फसियो,0.6,लसिया
201,अकाली,0.6,चालीस
211,कर्जा,0.6,खरंजा
144,देववाद,0.583,देवता
51,शलाकाएँ,0.5710000000000001,कलाकारस
173,दीवानगी,0.5,दिवान
73,रीये,0.5,धीरे
118,प्रयोजक,0.5,प्रसंगक
76,सक्रामक,0.5,कोरामें
66,कुण्डलियाँ,0.5,दुनियाँ
64,मृइतका,0.5,कृषकाय
77,बापरेबाप,0.5,चरेबाक
128,दुम,0.5,दुइ
